Judul,Berita
"Rincian Harga Emas Hari Ini di Pegadaian, dari 0,5 Gram hingga 1 Kg","KOMPAS.com - Harga emas batangan Antam pada Selasa(12/11/2023), dibanderol seharga Rp 1.112.000 atau tidak mengalami perubahan apabila dibandingkan hari Senin kemarin.
Kemudian untuk harga emas batangan pecahan 0,5 gram dibanderol seharga Rp 607.000 dan harga emas batangan Antam 2 gram dipatok Rp 2.161.000.
Sementara harga emas batangan yang dirilis PT Untung Bersama Sejahtera (UBS) 1 gram dipatok seharga Rp 1.079.000 atau naik Rp 2.000 bila dibanding sehari sebelumnya.
Berbeda halnya dengan harga emas batangan Antam yang stagnan, harga emas hari ini UBS mengalami kenaikan. Untuk harga emas hari ini pecahan 0,5 gram UBS dijual seharga Rp 576.000 dan pecahan 2 gram seharga Rp 2.141.000.
Pegadaian juga menyediakan emas batangan Antam versi Antam Retro dan Antam Batik. Berikut harga emas hari ini, Selasa 14 November 2023 di Pegadaian:
Sementara untuk tabungan emas Pegadaian, untuk setiap 0,01 gram, Pegadaian menetapkan harga emas hari ini untuk harga jual sebesar Rp 10.060 dan harga beli Rp 9.750.














"
"Pastikan Konser Coldplay Digelar Sesuai Jadwal, Menparekraf: ""Show Must Go On"" ","Hal tersebut disampaikan Sandiaga saat menanggapi pertanyaan wartawan terkait adanya penolakan kedatangan band asal Inggris tersebut.
""Per hari ini show must go on, jadi masih sesuai dengan target Coldplay akan manggung di tanggal 15 November di hari Rabu ini, kita semua mengupayakan secara kolaboratif untuk konser ini berlangsung dengan lancar,"" kata Sandiaga melalui kanal Youtube Kemenparekraf dikutip Selasa (14/11/2023).
Sandiaga mengatakan, konser tersebut berdampak pada perekonomian termasuk penciptaan peluang usaha dan lapangan kerja.
Ia mengatakan, konser Coldplay bisa menjadi ajang pembuktian bahwa Indonesia sangat layak menjadi venue konser-konser besar dunia.
""Saya mengingatkan karena ada dua konser baru-baru ini yang menjadi sorotan dari aspek keselamatan dan aspek ketepatan waktu, ini harus diselenggarakan dengan profesional dan berdampak positif,"" ujarnya.
Sandiaga mencontohkan dampak ekonomi konser Coldplay adalah dengan kedatangan sekitar 10.000-15.000 wisatawan.
""Kami harapkan, bisa di atas 20 persen dari target yang kami ingin capai,"" tuturnya.
Lebih lanjut, Sandiaga mengatakan, pihaknya tetap memantau baik itu masukan, kritik, dan kekhawatiran terkait konser tersebut.
""Kami diseminasi kepada pihak terkait untuk menjadi pertimbangan,"" ucap dia.














"
"JIS Jadi ""Venue"" Piala Dunia U-17, Jakpro Apresiasi FIFA hingga PSSI","JAKARTA, KOMPAS.com - PT Jakarta Propertindo (Jakpro) menyampaikan terima kasih karena Jakarta International Stadium (JIS) diberikan kesempatan menjadi venue atau stadion pertandingan Piala Dunia U-17 2023.
Dalam keterangan resminya, Jakpro menyampaikan apresiasi secara khusus kepada Persatuan Sepak Bola Seluruh Indonesia (PSSI) yang telah mendukung penyempurnaan JIS.
""Apresiasi atas dukungan yang diberikan oleh seluruh pihak pada penyelenggaraan FIFA World Cup U-17, utamanya kepada PSSI yang telah memberikan kesempatan sejak awal perencanaan agar JIS menjadi bagian dari stadion kebanggaan yang menghelat kejuaraan dunia tersebut,"" ujar Jakpro dalam keterangan resminya, Selasa (14/11/2023).
Berkat dukungan itu, JIS akhirnya bisa terpilih menjadi venue pertandingan Piala Dunia U-17 2023 bersama tiga stadion lain di Surabaya, Solo, dan Kabupaten Bandung.
""JIS dipilih sebagai venue Piala Dunia U-17 FIFA 2023, yang menjadi tempat pertandingan berlangsungnya fase grup C, D, E, dan F,"" ungkap Jakpro.
Untuk diketahui, Indonesia menjadi tuan rumah Piala Dunia U-17 2023. Ajang sepak bola ini berlangsung pada 10 November hingga 2 Desember 2023.
Ada empat stadion yang akan dipakai dalam pergelaran ini, yakni JIS di Jakarta, Si Jalak Harupat di Kota Bandung, Stadion Manahan di Kota Solo, dan Stadion Gelora Bung Tomo di Surabaya.
Adapun JIS akan dipakai pertama kali pada Sabtu, 11 November 2023 untuk pertandingan Kaledonia Baru vs Inggris.
Penunjukan JIS yang menjadi salah satu stadion Piala Dunia U-17 itu sebelumnya menjadi polemik karena beberapa infrastrukturnya disebut tak sesuai standarisasi FIFA.
Salah satu yang menjadi sorotan saat itu yakni rumput stadion. Rumput JIS kala itu disebut-sebut tak berstandar untuk ajang sepakbola internasional.














"
"Resep Sate Kere Khas Yogyakarta, Bisa Pakai Tetelan atau Jeroan","Pemula


KOMPAS.com - Sate kere banyak ditemukan di Yogyakarta terutama Pasar Beringharjo dan sekitarnya.
Munculnya sate kere berawal dari orang Yogyakarta zaman dahulu tidak bisa membeli daging karena mahal akhirnya menggunakan bahan sisaan daging seperti tetelan atau jeroan untuk bikin sate.
Sate kere bisa dibuat dari tetelan (sisa daging yang menempel pada daging), jeroan, kikil, atau gajih (lemak). Ada juga sate kere dari tempe gembus yang populer di Solo.
Resep sate kere dari buku ""Ngelencer ke Yogyakarta"" karya Vindex Tengker terbitan Gramedia Pustaka Utama ini menggunakan tetelan, kikil, atau jeroan.
Buku digital ""Ngelencer ke Yogyakarta"" karya Vindex Tengker terbitan Gramedia Pustaka Utama dapat dibeli di Gramedia.com.















"
Teka-teki Pembuang 24 Kg Limbah Medis di Buleleng,"Polisi kini tengah menyelidki pelaku yang membuang puluhan kilogram limbah medis yang terdiri dari jarum suntik dan obat kedaluwarsa tersebut.
Kapolsek Sukasada, Kompol Made Agus Dwi Wirawan mengatakan limbah itu ditemukan pada Minggu (12/11/2023) dan kini telah diamankan oleh petugas Dinas Lingkungan Hidup (DLH) Buleleng.
 ""Kami masih menyelidiki dengan meminta keterangan pihak-pihak terkait temuan limbah medis ini,"" ujarnya saat dikonfirmasi di Buleleng, Selasa (14/11/2023).
 Ia mengungkapkan, membuang limbah medis sembarangan merupakan pelanggaran hukum dan dapat dijerat dengan pidana khusus.
Sehingga kemungkinan kasus ini akan dilimpahkan ke Unit IV Tindak Pidana Tertentu Polres Buleleng.

Setelah temuan itu, pihaknya langsung melakukan koordinasi dengan Kepala Puskesmas Sukasada I. Dugaan sementara, limbah itu diduga dibuang oleh tenaga kesehatan yang membuka layanan medis home care.
Sebab untuk Puskesmas maupun rumah sakit dipastikan sudah bekerja sama dengan pihak ketiga untuk mengelola limbah medis.
 ""Jadi kemungkinan limbah ini dibuang oleh bidan atau perawat yang memberikan pelayanan ke rumah-rumah pasien,"" katanya. 
 Agus Dwi menyebutkan limbah itu dibuang dengan cara dimasukan ke dalam karung, lalu dibuang di pinggir jalan. Limbah tersebut diduga dibuang beberapa bulan yang lalu, sebab kondisi karung sudah mulai rusak.
 Pihaknya pun akan menyelidiki bidan dan perawat yang ada di sekitar wilayah Kelurahan Sukasada dan ke beberapa desa tetangga seperti Desa Sambangan dan Desa Panji. 
 ""Kami berencana mengumpulkan dan mendata tenaga kesehatan yang ada di wilayah Kecamatan Sukasada. Akan kami berikan sosialisasi dan pemahaman terkait sampah medis, karena itu harus dimusnahkan dengan cara dibakar. Tidak boleh dibuang sembarangan,"" lanjutnya.
Kepala Dinas Kesehatan Buleleng, Sucipto menyampaikan temuan limbah medis sembarangan menjadi bahan evaluasi.
 Menurutnya, limbah medis itu bisa sangat berbahaya dan berisiko disalahgunakan.
 ""Itu sudah masuk melanggar Undang-Undang dan kewenangan ada di pihak berwajib seperti kepolisian yang menindaklanjuti temuan seperti itu,"" singkatnya.
 Sebelumnya, limbah medis berupa jarum suntik bekas hingga obat kedaluwarsa ditemukan dalam sebuah karung dan tercecer pada Minggu (12/11/2023).
 Ada sebanyak lima jenis limbah medis yang dibuang di lokasi seperti jarum suntik seberat 1,071 kilogram, kemasan botol obat seberat 23,095 kilogram.
 Kemudian kemasan obat campur spluit dalam botol plastik seberat 0,708 kilogram, masker handglove seberat 0,0044 kilogram, dan obat kadaluwarsa seberat 0,0017 kilogram.
 ""Jumlah totalnya (limbah medis) seberat 24,8801 kilogram. Kemarin sudah kami amankan dan sampah medis ini sudah disegel,"" ungkap Kepala Dinas Lingkungan Hidup Buleleng, Gede Melandrat.














"
"Piala Dunia U17, KCIC Sediakan ""Shuttle Bus"" Gratis di Stasiun Tegalluar ke Stadion Si Jalak Harupat","GM Corporate Secretary KCIC Eva Chairunisa mengatakan, dalam menyediakan shuttle bus gratis ini KCIC bekerja sama dengan Pemerintah Kabupaten Bandung dan Damri.
KCIC menyediakan 5 armada shuttle bus Damri dengan kapasitas 30 penumpang yang akan berangkat dari Stasiun Tegalluar menuju Stadion Si Jalak Harupat.
""Adapun jadwal keberangkatan Bus tersebut menyesuaikan dengan jadwal pertandingan dan kedatangan maupun keberangkatan kereta cepat Whoosh,"" ujarnya dalam keterangan tertulis, Senin (13/11/2023).
Selain di Stadion Si Jalak Harupat, pelaksanaan Piala Dunia U-17 juga diadakan di Jakarta Internasional Stadium (JIS) yang juga terkoneksi dengan layanan Kereta Cepat Whoosh.
Eva menjelaskan, penumpang Kereta Cepat Whoosh dapat menuju JIS menggunakan Bus Transjakarta 7W dari Stasiun Halim dan transit di Cawang untuk menuju JIS.
Penumpang juga dapat menggunakan LRT Jabodebek dan turun di Stasiun Cawang Cikoko, untuk berpindah ke KRL menuju Jakarta Kota.
Untuk melayani penumpang, tersedia booth dan petugas khusus di Stasiun Halim dan Tegalluar yang akan memberikan informasi terkait penyelenggaraan dari gelaran sepak bola dunia ini.
""Gelaran ini merupakan kompetisi sepak bola akbar yang mengharumkan nama bangsa. Karena itu Kereta Cepat Whoosh merasa senang dan bangga dapat terlibat dalam gelaran ini dan siap memberikan layanan terbaik,"" tuturnya.
Selain itu, KCIC tidak hanya mempersiapkan layanan dukungan Piala Dunia U17 untuk para penumpang yang ingin menonton Laga Bola Dunia, tapi juga untuk tim official FIFA, PSSI, dan panitia penyelenggara yang akan menuju Bandung menggunakan Kereta Cepat Whoosh.
Adapun melalui kordinasi dan kerjasama dengan PSSI sebagai federasi sepak bola Indonesia, di programkan pada perjalanan Kereta Cepat Whoosh selama 10-21 November 2023 terdapat sekitar 288 personil Tim Official FIFA dan PSSI yang akan berangkat menggunakan Kereta Cepat Whoosh, dari jumlah tersebut secara bertahap sudah berangkat melalui Stasiun Halim menuju Stasiun Tegalluar.














"
PM Palestina Tolak Ide Kamp Sementara bagi Pengungsi Palestina dengan Alasan Ini,"Penulis: VOA Indonesia
JALUR GAZA, KOMPAS.com - PM Palestina Mohammed Shtayyeh pada Senin (13/11/2023), menolak pendirian kamp sementara bagi pengungsi Palestina di Gaza.
Ia menyerukan pemulangan penduduk yang terpaksa mengungsi ke rumah mereka.
Dalam rapat kabinet di Ramallah, Tepi Barat yang diduduki, Shtayyeh menambahkan bahwa dalam sejarah Palestina, tidak ada yang namanya ""sementara"".
""Pengalaman telah mengajarkan kami bahwa hal yang bersifat sementara adalah sesuatu yang permanen,” jelas dia
Shtayyeh meminta PBB dan Uni Eropa untuk mengirim bantuan melalui udara ke Jalur Gaza, khususnya di bagian utara, seperti yang terjadi dalam berbagai pengalaman di dunia.
Mengenai rencana Siprus membangun koridor laut kemanusiaan ke Gaza, Shtayyeh mengatakan pihaknya ingin bantuan tiba.
""Namun, kami tidak bisa menerima bila warga kami dimasukkan ke kapal untuk dideportasi atas nama bantuan,"" katanya.
Perang Hamas-Israel tersebut, yang kini memasuki minggu keenam, dipicu oleh serangan mendadak Hamas pada 7 Oktober yang belum pernah terjadi ke Israel.
Respons Israel telah menimbulkan tingkat kematian dan kehancuran yang belum pernah terjadi terhadap 2,3 juta penduduk Palestina di Gaza.
Hampir dua pertiga dari mereka harus meninggalkan rumah tanpa tersedia tempat perlindungan yang aman di wilayah yang terkepung.
Lebih dari 11.800 warga Palestina, dua pertiganya adalah perempuan dan anak di bawah umur, telah terbunuh sejak perang dimulai, menurut Kementerian Kesehatan di Gaza yang dikuasai Hamas.

Mereka tidak membedakan antara kematian warga sipil dan militan.
Kementerian itu adalah satu-satunya sumber resmi mengenai korban di Gaza.
Dalam perang-perang sebelumnya, penghitungan yang dilakukan kementerian itu sesuai dengan hasil hitungan badan pengawas PBB, penyelidikan independen, dan bahkan Israel.













"
"Resep Ketan Bumbu, Camilan Minum Kopi Tubruk ","pemula


KOMPAS.com - Ketan bumbu paling cocok disantap sembari minum kopi tubruk atau teh manis panas.
Cara membuat ketan bumbu ini tidak sulit, bahkan rice cooker digital bisa memasak ketan sepraktis masak nasi sekarang. 
Kamu butuh mengoseng bumbu dengan rasa gurih untuk dicampur dalam ketan pada camilan praktis ini. 
Simak resep ketan bumbu dari buku ""Seri Penganan Jadul Tetap Favorit Snack Gurih"" oleh Tim Ide Masak (2013) Penerbit PT Gramedia Pustaka Utama. 
Bahan: 
Bumbu: 
1. Didihkan santan, garam, dan daun pandan. Campurkan pada ketan kukus, aduk sampai santap meresap ke ketan. Kukus lagi ketan 20 menit sampai matang. Bentuk bulatan dan pipihkan.
2. Sangrai kelapa parut dengan udang kering halus, irisan daun jeruk, dan bumbu halus sampai kering kecoklatan. Selagi panas, tumbuk dan haluskan lalu campur garam dan gula. 
3. Letakkan bumbu pada wadah lebar, masukkan tiap bulatan ketan, biarkan seluruhnya terbalur bumbu. 
Buku ""Seri Penganan Jadul Tetap Favorit Snack Gurih"" oleh Tim Ide Masak (2013) Penerbit PT Gramedia Pustaka Utama bisa dibeli di Gramedia.com. 
A post shared by Foodplace (@my.foodplace)














"
Kemenhub Kaji Pembangunan Kereta Otonom di IKN,"Juru Bicara Kemenhub Adita Irawati mengatakan, ART ini rencananya akan dibangun di Kawasan Inti Pusat Pemerintahan (KIPP) sehingga akan menjadi moda transportasi di dalam IKN.
""Dari Pak Menhub ada diskusi mengenai Autonomous-rail Rapid Transit (ART), seperti trem untuk innernya IKN, itu juga ada beberapa diskusi ke arah situ,"" ujarnya saat ditemui di Gedung Kemenhub, Jakarta, Senin (13/11/2023).
Namun Adita mengaku masih belum bisa memastikan proyek ART ini pasti akan dibangun lantaran masih terus dikaji oleh Kemenhub dan instansi terkait. Yang jelas, ART ini menjadi salah satu opsi moda transportasi di dalam kawasan IKN.
Selain ART ini Kemenhub juga mengkaji opsi moda transportasi lainnya untuk di dalam IKN seperti kereta gantung. Namun opsi-opsi ini masih akan dilihat yang paling tepat dan sesuai dengan kondisi daerah IKN.
""Sekali lagi ini masih harus dikaji. Tapi dilihat dari kebutuhan, radius, teknologinya, sepertinya ART jadi opsinya juga untuk di dalam IKN,"" ucapnya.


Sebagai informasi, Kemenhub akan membangun 4 proyek perkeretaapian di IKN Nusantara di Kalimantan Timur mulai 2025-2029.
Keempat proyek tersebut yakni kereta bandara, kereta di Kawasan Inti Pusat Pemerintahan (KIPP), kereta perkotaan, dan kereta intercity.
Lantaran rencana pembangunan 4 proyek perkeretaapian di IKN ini paling cepat dimulai 2025, maka proyek-proyek ini belum masuk dalam daftar infrastruktur dasar di IKN tahun 2024. Namun tidak menutup kemungkinan keempat proyek ini akan mulai dibangun lebih cepat dari rencana awal.














"
"Tipu Caleg hingga Ratusan Juta Rupiah, Pelaku Minta Korban Beli Koper hingga Mesin Penghitung Uang","JAKARTA, KOMPAS.com - NZ (52), penipu dengan modus meminjamkan dana kampanye kepada caleg, meminta korbannya membeli koper hingga mesin penghitung uang.
Pelaku menipu caleg DPRD DKI Jakarta berinisial M (58) senilai Rp 23 juta, dan caleg DPR RI berinisial B senilai Rp 200 juta.
Kapolsek Tambora Kompol Putra Pratama mengatakan, ada tiga syarat untuk mendapatkan uang pinjaman tanpa jaminan itu.
“Hanya ada tiga persyaratan yang diminta oleh pemberi pinjaman, yaitu menyerahkan proposal kegiatan berikut kebutuhan anggaran,” ujar Putra saat dikonfirmasi, Senin (13/11/2023).
“Lalu membayar biaya pembelian koper untuk tempat uang senilai Rp 5 juta per koper, dan membayar biaya mesin penghitung uang sebesar Rp 15 juta (syarat ini tidak wajib),” imbuh dia.
Dia menjelaskan, NZ kerap mengiming-imingi korban bisa meminjam uang hingga miliaran rupiah. Namun, sebelum uang itu dikirimkan, korban harus membeli koper sesuai nilai pinjaman.
“Setiap koper dijanjikan akan diisi uang sebesar Rp 5 miliar,” ucap Putra.
Kepada korbannya, NZ menjanjikan dapat memberikan dana pinjaman untuk caleg DPRD hingga Rp 30 miliar, caleg DPR RI Rp 50 miliar, dan calon bupati atau wali kota bisa meminjam hingga Rp 60 miliar. Pelaku yang merupakan ibu rumah tangga itu pun mengaku mengenal pemodal asal Solo, Jawa Tengah.
“Untuk meyakinkan, korban M bahkan diminta untuk datang langsung ke Solo, tepatnya di Hotel Solo Tiara pada 23 Agustus 2023 dan bertemu langsung dengan pemilik dana yang mengaku bernama Gus Rudi,” jelas Putra.
Setelah pertemuan terjadi, pelaku meminta agar M mentransfer uang Rp 30 juta untuk membeli enam koper sebagai penampung uang. NZ berjanji, koper berisikan uang akan dikirim langsung ke alamat M maksimal selama dua pekan.
“Karena korban M tidak memiliki uang sebesar Rp 30 juta, ia hanya sanggup mengirimkan uang ke pelaku sebesar Rp 23 juta,” kata dia.
Oleh sebab itu, NZ menyampaikan bahwa M hanya bisa meminjam uang Rp 20 miliar. Akan tetapi, setelah dua pekan empat koper berisi uang Rp 20 miliar yang ditunggu-tunggu tak juga diterima korban.
""Pada saat korban M menagih uang pinjaman ke pelaku NZ, selalu dijawab untuk sabar menunggu,"" tutur Putra.
M lantas melaporkan penipuan yang dialaminya ke Polsek Tambora. Polisi kemudian menangkap NZ, Minggu (5/11/2023).
""NZ juga menerangkan bahwa masih terdapat banyak caleg lain yang menjadi korban komplotan ini, yang dibawa oleh broker atau makelar lainnya,"" papar Putra.
Kini, pelaku telah diamankan di Mapolsek Tambora. Atas perbuatannya, NZ dijerat Pasal 378 Kitab Undang-Undang Hukum Pidana (KUHP) dan atau Pasal 372 KUHP tentang Penipuan dan atau Penggelapan, dengan ancaman hingga empat tahun penjara.














"
"Moody's Pangkas Prospek Peringkat Utang AS, Wall Street Ditutup Bervariasi","S&P 500 ditutup turun tipis 0,08 persen pada level 4.411,55. Nasdaq Komposit melemah 0,22 persen di posisi 13.767,74. Sementara itu, Dow Jones Industrial Average bertambah 0,16 persen atau 54,77 poin ke posisi 34.337,87.
Investor menantikan pembacaan indeks harga konsumen pada bulan Oktober, yang akan dirilis pada hari Selasa, sebagai katalis berikutnya bagi pasar. Inflasi umum diperkirakan naik menjadi 3,3 persen YoY dan 0,1 persen MoM, menurut ekonom yang disurvei oleh Dow Jones.
Jumat lalu, Moody's menggarisbawahi adanya defisit fiskal AS sangat besar. Lembaga pemeringkat ini menegaskan kembali bahwa peringkat kredit Amerika berada di level AAA, yang merupakan posisi tertinggi. Tiga bulan lalu, Fitch juga menurunkan peringkat default jangka panjang penerbit mata uang asing AS menjadi AA+ dari AAA. Penurunan peringkat sebagai dampak memburuknya fiskal AS, dan meningkatnya beban utang.
Imbal hasil Treasury AS bergerak cenderung datar pada hari Senin meskipun prospeknya negatif. Surat utang Treasury AS tenor 10 tahun juga mencatat imbal hasil 4,6 persen atau naik sekitar 1 basis poin.
“Kami melihat reaksi investor terhadap pemangkasan dari Moody’s, namun kami juga melihat kegelisahan terhadap beberapa perkembangan besar yang tertunda minggu ini,” kata Greg Bassuk, CEO AXS Investments.
“Kami pikir semua perhatian terfokus pada data inflasi minggu ini dan kebijakan Fed ke depannya,” lanjut dia.
Bassuk memperkirakan volatilitas pasar akan terus berlanjut hingga akhir tahun, terutama mengingat kondisi geopolitik saat ini yang sedang berlangsung. Kondisi yang dikombinasikan dengan data ekonomi yang beragam tentu akan meningkatkan volatilitas pasar.














"
"Honda Tapas, Skutik Retro 100 cc Dijual Rp 17 Jutaan","JAKARTA, KOMPAS.com – Wuyang Honda di China baru saja meluncurkan skutik bergaya retro klasik terbaru bernama Honda Tapas.
Berbeda dari Giorno maupun Scoopy yang sama-sama memiliki desain retro, motor ini punya kapasitas mesin paling kecil.
Dilansir dari Greatbiker (13/11/2023), Honda Tapas dibekali mesin 102 cc 1 silinder 2 katup dengan kompresi 9,5:1.
Dok. Greatbiker Honda Tapas 2023
Berdasarkan spesifiksasinya, Tapas memiliki tenaga maksimal 5,3 Kw atau setara 7,1 Tk pada 7.500 rpm dan torsi 7,4 Nm pada 6.000 rpm.
Dengan bobot hanya 95 Kg, motor ini memiliki kecepatan maksimal yang dibatasi sekitar 80 Kpj. Adapun tangki bahan bakarnya berkapasitas 5,5 liter.
Perihal fiturnya, motor ini dilengkapi lampu penerangan LED dan DRL, serta terdapat soket USB.

 
Terdapat tempat penyimpanan yang cukup luas di bawah jok, rem cakram depan, dan jam analog di layar instrumen.
Secara umum, Honda Tapas tidak menawarkan banyak fitur mencolok, tapi lebih fokus untuk memenuhi kebutuhan pengguna sehari-hari.
Terlebih dengan kapasitas mesin kecil, Honda Tapas menjanjikan konsumsi bahan bakar irit buat skutik perkotaan.
Dok. Greatbiker Honda Tapas 2023
Bicara soal harga, Wuyang Honda menjual Tapas dengan banderol 8.280 yuan atau setara Rp 17,8 juta.
Artinya, motor ini lebih murah dibandingkan Honda Beat di Indonesia yang dipatok mulai Rp 18,050 juta.
Sedangkan Scoopy yang lebih dulu meramaikan segmen skutik retro, ditawarkan Rp 21,975 juta (tipe Fashion dan Sporty) dan Rp 22,780 juta (tipe Prestige dan Stylish).














"
"951 Warga Meninggal Dunia Tercatat di DPT, Bawaslu Situbondo Peringatkan Potensi Penyalahgunaan","Divisi Pencegahan, Partisipasi Masyarakat, Humas Bawaslu Kabupaten Situbondo Bahrul Walid menyatakan jumlah warga meninggal sebanyak 951 orang tersebut harus segera diberi tanda dan bukti yang jelas.
""Iya 951 orang meninggal dalam temuan kami, kalau aturannya untuk data yang sudah meninggal masuk dalam kategori tidak memenuhi syarat, kami (bawaslu) mengimbau KPU memberi penandaan sehingga data tersebut tidak digunakan oleh siapa pun nanti,"" kata Bahrul Walid, Senin (13/11/2023).
Ke depan, pihak Bawaslu Situbondo akan terus melakukan pengawasan penyusunan daftar pemilih tambahan (DPTb).
Dengan demikian, potensi penambahan penemuan data tidak layak atau tidak memenuhi syarat (TMS) dimungkinkan ada.
""Untuk jumlah yang pindah domisi per hari ini sebanyak 36 orang dalam inventarisir kami, kemungkinan penambahan dan pengurangan data tersebut masih ada,"" katanya.
Dia juga menyatakan untuk warga pindah pemilihan untuk pencatatannya dimulai dari tanggal 27 Juni sampai 7 Februari 2023. Jadi, potensi bertambahnya data pindah domisili masih sangat mungkin terjadi.
""Data transfer pemilih itu diberikan secara bertahap karena setiap bulan PPS, PPK, KPU melakukan rekapitulasi dan tidak menutup kemungkinan data bulan depan bertambah setelah rekapitulasi,"" tuturnya.
Evaluasi tentang pindah pemilih tersebut telah ditetapkan sebagaimana surat dinas KPU Nomor 695/PL.01-SD/14/2023,tanggal 7 Juni 2023 mengenai daftar pemilih tambahan dalam negeri dan luar negeri.
Informasi sebelumnya, jumlah DPT yang ditetapkan KPU Kabupaten Situbondo pada Pemilu 2024 sebanyak 514.814 orang.
Data tersebut masih sangat dinamis karena jumlah pemilihnya bisa berkurang dan bertambah akibat adanya pindah domisili atau meninggal dunia.














"
"Viral, Video Mobil Angkut Dua Bayi Tidur di Bagasi Tanpa Pintu","Video tersebut diunggah oleh akun Instagram @lowslow.indonesia. Dalam tayangan itu terlihat dua anak bayi yang sedang tidur di atas bouncer. Diketahui kejadian itu terjadi di sekitar Pasar Gede Surakarta, Jawa Tengah,  Senin (13/11/2023).
Tampak mobil berkelir hitam tanpa jok belakang. Parahnya, sang pemilik mobil membiarkan bagian belakang terbuka alias tidak ada pintu bagasi, dengan posisi kedua bayi tersebut menghadap ke arah belakang.
Video ini mendapat beragam komentar dari warganet, tak sedikit dari mereka yang mengecam aksi berbahaya pemilik mobil tersebut.
“Woi itu orang tuanya ditangkap. Dipenjarakan. Gileeeeee betapa ga berharganya itu anak ya???,” tulis akun @__yansen.
“Bawa anak udah kek bawa barang belanjaan,” tulis komentar @29_icon.
“Klo pas ngerem mendadak trus anaknya kelempar gimana ituuuu,” tulis akun @kuro_neko507.
A post shared by LOWSLOW® Official (LS) (@lowslow.indonesia)
Training Director Safety Defensive Consultant Indonesia (SDCI) Sony Susmana mengatakan, kejadian dalam video tersebut sudah masuk dalam kategori membahayakan dan seharusnya segera diberhentikan.
“Anak-anak itu paling rentan cidera, tidak hanya saat kecelakaan tetapi ketika rem mendadak atau mobilnya manuver. Itu kenapa anak-anak wajib terlindungi,” ucap Sony saat dihubungi Kompas.com, Senin (13/11/2023).
Sony melanjutkan, ketika membawa balita saat naik mobil, ada beberapa aturan yang harus diterapkan.
“Wajib menggunakan children seat atau booster seat, pakai safety belt dan duduk di baris tengah. Pastikan juga pintu-pintu aktif child locknya dan menjauhkan anak-anak dari benda-benda yang keras yang bisa melukai. Jangan lupa pasang stiker children inside dan kecepatan kendaraan maksimal 60 Km per jam di jalan bebas hambatan,” kata Sony.
dok. Shutterstock/ShokulPdi Ilustrasi memberikan car seat sebagai kado untuk bayi.
Menurut Sony, hal tersebut wajib dilakukan karena merupakan tanggung jawab dan rasa kasih sayang orang tua terhadap anaknya.
“Membiarkan anak-anak bebas di dalam kabin sama dengan membiarkan mereka dalam bahaya, karena kita tidak pernah tahu kapan kecelakaan menghampiri,” ujar Sony.














"
[POPULER NUSANTARA] Gibran Minta Buktikan Kecurangan Pemilu 2024 | Polisi Diduga Terlibat Pasang Baliho Prabowo-Gibran," 
KOMPAS.com - Pernyataan Ketua Umum PDI-P Megawati Soekarnoputri menyebut sudah tampak adanya kecurangan Pemilu 2024.
Hal ini ditanggapi Wali Kota Solo, Gibran Rakabuming Raka.
Selain itu, Gibran buka suara mengenai adanya narasi keterlibatan pihak kepolisian dalam pemasangan baliho Prabowo-Gibran.
Menurutnya, pemasangan baliho Prabowo-Gibran selama ini dilakukan oleh relawan ""Bolone Mase"".
Dua berita tersebut menjadi perhatian banyak pembaca Kompas.com. Berikut ini lima berita populer Nusantara yang dirangkum pada Senin (13/11/2023).
Megawati mengingatkan agar semua pihak tidak mengulangi kecurangan pemilu.
Pernyataan tersebut disampaikan Megawati merespons putusan Mahkamah Konstitusi (MK) Nomor 90/PUU-XXI/2023 terkait syarat usia calon presiden dan wakil presiden yang dinilai banyak pihak syarat dengan nepotisme.
""Jangan biarkan kecurangan Pemilu yang akhir ini terlihat sudah mulai akan terjadi lagi,"" kata Megawati sebagaimana disiarkan di YouTube PDI-P, Minggu.
Putra sulung Presiden Jokowi meminta untuk membuktikan dan melaporkan apabila ada kecurangan.
""Ya dibuktikan saja kalau ada kecurangan-kecurangan dan dilaporkan saja,"" kata Gibran di Solo, Jawa Tengah, Senin (13/11/2023).
Soal tudingan aparat tidak netral mendukung paslon Prabowo-Gibran, bakal calon wakil presiden dari Koalisi Indonesia Maju (KIM) pun meminta melaporkan apabila ada bukti tidak netral.
""Ya dilaporkan aja kalau ada bukti-bukti (tidak netral),"" ungkap dia.
KOMPAS.com/Labib Zamani Wali Kota Solo sekaligus bakal calon wakil presiden, Gibran Rakabuming Raka di Solo, Jawa Tengah, Senin (13/11/2023).
Gibran bantah adanya bantuan dari kepolisian terkait pemasangan baliho Prabowo-Gibran.
""Sing masang Bolone Mase (yang memasang Bolone Mase). Takono (tanya) Mas Kuat (Koordinator Relawan Bolone Mase). Mas Kuat ki ratau turu nak bengi masangi baliho (Mas Kuat tidak pernah tidur setiap malam memasang baliho),"" kata Gibran di Solo, Jawa Tengah, Senin (13/11/2023).
Tim Kampanye Nasional (TKN) Prabowo Subianto dan Gibran Rakabuming Raka juga membantah ada bantuan dari pihak kepolisian dalam pemasangan baliho Prabowo-Gibran.














"
