Judul,Berita,Topik
"Melayat Doni Monardo, Muhadjir: Selama Menangani Covid-19 Beliau Tak Pernah Pulang ","JAKARTA, KOMPAS.com - Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy melayat ke rumah duka almarhum mantan Kepala Badan Penaggulangan Bencana Nasional (BNPB) yang juga mantan Ketua Satgas Covid-19, Doni Monardo di Serpong Utara, Tangerang Selatan, Senin (4/11/2023).
Muhadjir menyampaikan sejumlah keterangan tentang sosok Doni yang dikenalnya selama ini.
""Saya mengenal beliau sangat intens, terutama ketika bersama-sama menangani pandemi Covid-19,"" ujar Muhadjir.
""Dan selama menangani Covid, Pak Doni tidak pernah pulang. Jadi sehari-hari ngantor dan tinggal di kantor BNPB, saya tahu,"" tuturnya.
Muhadjir pun mengungkapkan, pada saat menangani pandemi itu, pihaknya pun diberitahu sebenarnya Doni sedang dalam kondisi kesehatan yang tidak prima.
Pasalnya, Mantan Danjen Kopassus itu memiliki penyakit bawaan (komorbid).
""Cuma waktu itu belum tahu konsep komorbid sehingga kita anggap walaupun ada gangguan kesehatan ya dianggap biasa saja. Baru-baru saja kita itu mulai ada konsep bahwa mereka yang komorbid rawan terhadap Covid-19,"" kata Muhadjir.
""Dan mulai itulah kita mencoba untuk membatasi beliau untuk tidak banyak turun lapangan gitu. Terutama ke rumah sakit,"" lanjutnya.
Muhadjir juga mengenang kebersamaan saat dirinya dan Doni menangani pandemi sejak awal, yakni ketika mengevakuasi warga negara Indonesia (WNI) dari Wuhan, China.
Setelah itu, Doni juga turut menangani persiapan pusat karantina pasien Covid-19 di Natuna.
Termasuk ketika pendirian pusat karantina ditentang masyarakat lokal.
""Waktu itu kita membangun rumah sakit darurat, kemudian sterilisasi. Dan kebetulan mendapatkan reaksi negatif dari masyarakat Natuna. Mereka demo dan Alhamdulillah karena beliau (Pak Doni) orang yang sangat luwes sehingga bisa diredam dan akhirnya bisa berjalan lancar,"" papar Muhadjir.
""Beliau adalah pribadi yang sangat baik, dan saya yakin beliau seluruh amal kebaikannya juga akan menjadi modal utama beliau untuk menghadap kepada Tuhan YME. Kita doakan semua mudah mudahan beliau husnul khotimah,"" tambahnya.
Sebelumnya, Dony Monardo meninggal dunia pukul 17.35 WIB pada Minggu.
Dony meninggal setelah sempat menjalani perawatan intensif di Rumah Sakit Siloam, Jakarta selama beberapa bulan terakhir.
Jenazah almarhum Dony saat ini disemayamkan di rumah duka di Serpong Utara, Tangerang Selatan.
Setelah itu, jenazah akan dilepas secara militer dari rumah duka ke Mako Kopassus Cijantung, Jakarta Timur pada Senin (4/11/2023) pagi.
Kemudian, jenazah akan diberangkatkan menuju pemakaman TMP Kalibata, Jakarta Selatan pada Senin siang.














",NEWS
"[POPULER OTOMOTIF] Jusuf Hamka Pesan 70 Unit Omoda E5, buat Mobil Operasional Jalan Tol | Pilihan Mobil Bekas Harga Rp 50 Juta di Bulan Ini","JAKARTA, KOMPAS.com - PT Chery Sales Indonesia resmi melaksanakan peresmian produksi pertama Omoda E5 di fasilitas milik PT Handal Indonesia Motor, di Bekasi, Sabtu (2/12/2023).
Acara tersebut juga dihadiri Menteri Koordinator Bidang Perekonomian RI Airlangga Hartarto dan juga pengusaha Jusuf Hamka.
Sebelum acara selesai, Jusuf bilang kalau dirinya sudah memesan 70 unit Omoda E5. Unit pesanannya tersebut terdiri dari tiga warna, yakni kuning, hitam, dan putih.
Selain itu,membeli mobil bekas mejadi alternatif pilihan bagi konsumen yang ingin segera memiliki kendaraan pribadi dengan harga lebih terjangkau. Tidak hanya harga yang lebih terjangkau, namun juga tidak perlu inden untuk mendapatkan mobilnya.
Pembeli bisa langsung membawa pulang setelah membeli mobil dari pemilik sebelumnya. Untuk dana Rp 50 juta, ada banyak pilihan mobil bekas yang bisa langsung dibeli. Mulai dari segmen MPV, SUV, sedan hingga hatchback.
Berikut 5 artikel terpopuler di kanal otomotif pada Minggu, 3 Desember 2023:
1. Jusuf Hamka Pesan 70 Unit Omoda E5, buat Mobil Operasional Jalan Tol
KOMPAS.com/Haryanti Puspa Sari Jusuf Hamka di Gedung Citra Marga, Jakarta Utara, Kamis (15/6/2023).
""Saya sudah pesan 70 unit Omoda E5, buat kendaraan operasional tol saya,"" kata Jusuf di Bekasi, Sabtu (2/12/2023).
Chery sebenarnya belum mengumumkan berapa harga resmi dari Omoda E5. Perkiraan harganya ada di antara Rp 500 juta sampai Rp 550 juta.
2. Pilihan Mobil Bekas Harga Rp 50 Juta di Bulan Ini
IST jual mobil bekas secara daring yang bergaransi














",OTOMOTIF
"Ucapkan Belasungkawa atas Meninggalnya Doni Monardo, Ganjar: Sahabat Saya...","Ganjar mengungkapkan, ia sempat menjenguk Doni Monardo saat dirawat di rumah sakit.
""Innalillahiwainnailaihirojiun. Pak Doni sahabat saya, saya sempat menengok beliau kemarin dan saya ketemu dengan ibu dan putrinya di sana,"" kata Ganjar di Kendari, Minggu (3/12/2023).
Ganjar lantas mengenang Doni Mobardo sebagai sosok tentara yang mencintai dunia tanaman.
Mantan Gubernur Jawa Tengah ini bahkan mengaku sempat berencana membuat sebuah gerakan menanam bersama Doni Monardo.
""Bahkan, beliau mengajak saya waktu itu untuk mengambil satu benih bibit pohon dari Maluku dan kami belum sempat,"" ujar Ganjar.
""Pak Doni orang hebat dan kita doakan mudah-mudahan husnul khatimah,"" katanya lagi.
Diberitakan sebelumnya, Doni Monardo meninggal dunia di RS Siloam Jakarta pada pukul 17.32 WIB, Minggu petang hari ini.
Menurut rencana, jenazah Doni Monardo akan disemayamkan di Markas Komando (Mako) Kopassus pada Senin (4/12/2023).
Kemudian, jenazah mantan Komandan Kopassus ini akan dimakamkan di Taman Makam Pahlawan (TMP) Kalibata, Jakarta pada Senin besok.














",NEWS
Pembelajaran Piala Dunia U17 dari Shin Tae-yong untuk Timnas Indonesia ,"KOMPAS.com - Pelatih timnas Indonesia, Shin Tae-yong, ingin para pemain Tanah Air lebih sering menonton laga sepak bola luar negeri seperti Piala Dunia U17 2023. 
Hal itu disampaikan Shin Tae-yong setelah gelaran Piala Dunia U17 2023 yang berlangsung di Jakarta, Bandung, Solo, dan Surabaya, pada 10 November-2 Desember 2023. 
Shin Tae-yong menilai bahwa laga-laga tersebut bisa memberikan pelajaran dan membantu para pemain Indonesia untuk lebih berkembang. 
""Jujur, bukan saya yang seharusnya menonton laga-laga ini (Piala Dunia U17 2023), tetapi mereka yang bermain di lapangan langsung,"" ucap Shin Tae-yong kepada Kompas.com, Minggu (3/12/2023). 
""Namun, pemain-pemain Indonesia saat ini memang tidak begitu banyak yang menonton laga-laga luar negeri. Jadi, sangat disayangkan,"" ujar pelatih asal Korea Selatan ini. 
""Dari Piala Dunia U17 2023 ini, saya berharap para pemain bisa menonton laga-laga di luar negeri, begitu pun para pelatih,"" katanya. 
""Saya juga menginginkan sepak bola Indonesia maju dan berkembang,"" tutur pelatih berusia 53 tahun tersebut. 
Shin Tae-yong juga mengatakan Indonesia harus bisa mengikuti sepak bola modern, yakni dimulai dengan pengembangan pemain usia dini. 
""Saya sudah berpengalaman di Piala Dunia senior, Piala Dunia U20, dan Olimpiade (U23). Menonton pertandingan Piala Dunia U17 sepertinya memang aliran sepak bola modern sangat cepat dialirkan ke pemain usia dini,"" ujarnya. 
""Pada final pun sama. Taktiknya bisa diterapkan dengan baik. Taktiknya bagus, pemain-pemainnya juga bagus mengikuti instruksi pelatih,"" ungkap Shin Tae-yong. 
""Jadi, terima kasih kepada kedua pelatih kemarin. Kita di Indonesia harus bisa mengikuti perubahan sepak bola modern ini,"" tutur Shin Tae-yong menjelaskan. 














",BOLA
Psikolog: Peran Kampus Sangat Penting dalam Mendukung Kesehatan Mental Mahasiswa,"KOMPAS.com - Tindakan mengakhiri hidup merupakan salah satu masalah kesehatan mental. Dilansir dari laman Universitas Airlangga (Unair), kasus bunuh diri setiap tahunnya selalu meningkat dan mencapai angka 700.000 per tahun. Kasus ini juga terjadi di kalangan mahasiswa.
Melihat hal tersebut, Nur Ainy yang merupakan Psikolog Universitas Airlangga mengatakan bahwa banyak faktor pemicu keinginan bunuh diri pada seseorang.
“Faktor pemicunya seperti adanya tekanan dalam lingkup akademik dan keluarga, kemudian merasa kesepian karena tidak ada dukungan sosial,” kata Nur.
Menurutnya, dunia perkuliahan seharusnya menjadi tempat untuk menimba ilmu. Namun, banyak mahasiswa yang mengalami masalah mental karena tidak bisa beradaptasi dengan baik sehingga muncul tekanan akademik.
Tekanan-tekanan akademik tersebut yang mengakibatkan depresi, kesulitan tidur, penurunan rasa percaya diri, gangguan kecemasan, malas belajar, stres, bahkan keinginan untuk mengakhiri hidup.
Nur mengatakan ada beberapa tips yang bisa dilakukan mahasiswa untuk mengatasi tekanan akademik tersebut.
“Mahasiswa bisa membuat jadwal untuk mengerjakan tugas dan beristirahat dan fokus untuk menyelesaikan satu tugas saja. Kemudian, menjaga keseimbangan antara kegiatan akademik dan non akademik,” kata Nur.
Selain itu, peran dosen dan kampus juga sangat penting dalam menjaga kesehatan mental para mahasiswa. Ia berpendapat bahwa dosen dapat menggunakan metode pembelajaran yang relevan dan adanya feedback. 
Pihak kampus dapat menyediakan tempat sebagai layanan konsultasi bagi mahasiswa yang mengalami gangguan dalam proses pembelajaran. Sehingga mahasiswa akan mendapatkan solusi dari profesional dan masalahnya bisa diatasi sedini mungkin. 
Para dosen juga bisa memberikan motivasi dan membantu mahasiswa saat mengalami kesulitan mengerjakan tugas, jurnal atau skripsi. Dengan demikian, mahasiswa tidak merasa sendiri dan kesepian.

Artikel ini merupakan bagian dari Lestari KG Media, sebuah inisiatif untuk akselerasi Tujuan Pembangunan Berkelanjutan.













",EDUKASI
Ganjar Sebut Akan Copot Pimpinan Bank jika Persulit Warga Dapat Modal lewat KUR,"Ha itu dikatakan mantan Gubernur Jawa Tengah dalam acara dialog tokoh masyarakat dan agama di Kendari, Sulawesi Tenggara, Minggu (3/12/2023) sore.
Awalnya, seorang warga bernama Fery mengeluhkan sulitnya memperoleh modal usaha dalam acara tersebut.
""Terus terang di sini banyak sekali yang namanya koperasi. Contohnya begini, pinjam hari ini besok harus dikembalikan. Lah, bagaimana modal itu mau diputar, dan bunganya tinggi,"" kata Fery.
Ganjar lalu balik bertanya kepada Fery, apakah tidak pernah mencari modal usaha lewat program kredit usaha rakyat (KUR).
Fery mengaku pernah mengajukan KUR, tapi ia menganggap syarat dan prosedur untuk mendapatkan KUR tidak sebanding dengan modal yang diperoleh.
""Ada jaminannya pak. Kalau kita ambil Rp 5 juta, jaminannya harus pakai sertifikat rumah, itu sangat tidak layak,"" kata Fery.
Ganjar lantas menyatakan bahwa syarat tersebut sebetulnya salah karena pinjaman modal usaha Rp 5 juta semestinya tidak perlu memakai jaminan.
Menurutnya, syarat itu dibuat-buat oleh pimpinan bank. Ia pun mengatakan bakal mencopot pimpinan bank yang melakukan hal tersebut.
""Masa pinjam Rp 5 juta harus pakai jaminan. Itu yang salah banknya, itu kalau bank-nya di bawah saya, langsung ganti pimpinannya karena KUR sebetulnya tidak perlu agunan,"" ujar Ganjar.
Ganjar pun menceritakan pengalamannya membuat skema kredit khusus bagi perempuan ketika menjabat sebagai Gubernur Jawa Tengah.
Ia mengungkapkan, modal usaha yang diajukan mereka sesungguhnya tidak besar sehingga ia memberikan suku bunga yang rendah.
""Suku bunganya 2 persen. Mahal apa murah? Bukan murah Bu, itu murah banget, setahun 2 persen. Dan ibu-ibu yang di pasar yang memanfaatkan, inilah tindakan khusus untuk perempuan,"" kata Ganjar.














",NEWS
"Di Acara Hari Disabilitas 2023, Siti Atikoh: Kita Harus Pastikan Semua Infrastruktur Bisa Diakses Masyarakat Tanpa Terkecuali","Itu disampaikan Atikoh saat menghadiri acara Hari Disabilitas Internasional 2023 di Cipinang, Jakarta Timur, Minggu (3/12/2023).
""Saya secara pribadi juga terus menerus menggaungkan kemudian mengimplementasikan bagaimana kita bisa memastikan semua infrastruktur itu bisa diakses oleh seluruh masyarakat tanpa kecuali,"" kata Atikoh di hadapan para penyandang disabilitas.
Kendati demikian, Atikoh menyadari kelengkapan infrastruktur itu tidak bisa dicapai jika pemerintah ke depan bergerak sendiri.


Untuk itu, ia berharap ada kerja sama semua pihak dalam mencapai keberhasilan pembangunan.
Dia pun mengajak masyarakat untuk ikut berpartisipasi dalam proses pembangunan.
""Tidak ada satu orang pun yang tertinggal untuk meraih kesuksesan. Ini kita harus bekerja sama, kita harus bergandengan tangan, bergotong royong agar selalu hadir menciptakan lingkungan yang inklusif buat Indonesia,"" ujar Atikoh.
Lebih jauh, Atikoh juga menyuarakan pemerintahan ke depan harus mengakomodasi semua akses pendidikan dan kesehatan bagi masyarakat.
Sebab, menurutnya soal pendidikan dan akses kesehatan akan berdampak pada keberhasilan sisi perekonomian dan kehidupan sosial masyarakat.














",NEWS
"Pilihan Mobil Bekas Rp 90 Jutaan, Bisa Dapat Camry dan Accord","JAKARTA, KOMPAS.com - Mobil bekas merupakan pilihan alternatif bagi konsumen yang memiliki dana terbatas. Selain itu, jika memiliki bujet Rp 90 juta, konsumen sudah memiliki banyak pilihan unit kendaraan bekas.
Namun, perlu diingat membeli mobil bekas harus melakukan pengecekan secara teliti agar tidak banyak biaya yang dikeluarkan ketika perbaikan. Pastikan juga dokumen-dokumen kendaraan lengkap, sehingga tidak terjadi masalah di masa depan.
Berdasarkan pantauan Kompas.com dari sejumlah bursa mobil bekas daring, Minggu (3/12/2023), dengan bujet Rp 90 juta konsumen ditawarkan banyak pilihan segmen mobil yang bisa disesuaikan dengan kebutuhan.
Kompas.com/Daafa Alhaqqy Deretan mobil bekas di area Gading Serpong, Tangerang. Penjual mengklaim minat konsumen meningkat
Berikut pilihan mobil bekas Rp 90 jutaan:
MPV
 
SUV
City Car
 
Sedan














",OTOMOTIF
"Tak Kampanye, Gibran Balik ke Solo Selasa-Jumat","Pekan depan, ia mengaku hanya mengambil cuti pada Senin (4/12/2023) besok. Setelah itu, ia akan kembali ke Surakarta dan menemui keluarga.
“Saya kan cutinya hanya hari Senin. Jadi Selasa, Rabu, Kamis, masuk dan ketemu (keluarga) lagi dan masih bisa mengerjakan pekerjaan sebagai Wali Kota,” kata Gibran di bilangan Jakarta Pusat, Minggu (3/12/2023).
Sebelumnya, Sekretaris Tim Kampanye Nasional (TKN) Prabowo-Gibran, Nusron Wahid, mengatakan bahwa Gibran dan Prabowo Subianto mengambil cuti hanya dua kali seminggu selama masa kampanye.
Adapun masa kampanye dimulai sejak 28 November 2023 hingga 10 Februari 2024 mendatang.
""Beliau-beliau (Prabowo-Gibran) sudah memutuskan, tetap akan menjadi Menteri Pertahanan dan Wali Kota, dan hanya cuti maksimal satu minggu dua kali,"" kata Nusron dalam jumpa pers di Media Center TKN Prabowo-Gibran, Jakarta, Selasa (28/11/2023).
""Jadi kan satu minggu ada lima hari kerja. Jadi maksimal hanya akan cuti dua hari. Itu pun maksimal,"" sambung dia.
Namun, Nusron menjelaskan, Prabowo dan Gibran bisa saja cuti lebih dari dua kali jika ada keperluan mendesak.
Misalnya, ada panggilan dari KPU yang berkaitan dengan pasangan calon pada Pilpres 2024.
Dalam kampanyenya hari ini, Gibran jalan pagi di area car free day Jalan Sudirman-Thamrin dan berkunjung ke Pasar Rawasari, Cempaka Putih, Jakarta Pusat.
Pada dua momen itu, Gibran membagikan susu kepada warga, program andalannya sejauh ini.
Putra sulung Joko Widodo itu juga dijadwalkan hadir dalam acara deklarasi dukungan dari organisasi relawan Sedulur Jokowi di Hotel Borobudur siang ini.














",NEWS
MG Siapkan MPV Listrik Pesaing Toyota Alphard dan Lexus LM,"JAKARTA, KOMPAS.com – Maxus Mifa 9 resmi diperkenalkan pada ajang GIIAS 2023 di bawah bendera Indomobil Group. MPV mewah bertenaga listrik ini akan menjadi penantang baru Toyota Alphard dan Lexus LM di pasar otomotif nasional.
Mobil yang diproduksi oleh SAIC Motor Corporation asal China ini rencananya juga akan dibawa oleh MG dengan nama MG Maxus 9.
“Kami MG Motor Indonesia sebagai prinsipan sangat senang dengan apa yang sudah dilakukan oleh salah satu distributor,” ujar Arief Syarifudin, Marketing & PR Director MG Motor Indonesia di Bangkok, belum lama ini.
Foto: Paultan.org MG Motor resmi merilis MG Maxus 9 di Bangkok International Motor Show (BIMS) 2023.
“Bahwa itu menjadi salah satu yang diperkenalkan lebih dulu oleh mereka, kami apresiasi. Kami berusaha memberikan hal yang menjadi opsi untuk masyarakat Indonesia miliki,” kata dia.
Secara tampilan eksterior, Maxus Mifa 9 nampak mirip dengan MPV Premium lain yang sudah beredar di Indonesia, seperti Toyota Alphard, Nissan Elgrand, dan Lexus LM.
Dimensinya juga terbilang besar, dengan panjang 5.270 milimeter (mm), lebar, 2.000 mm, tinggi 1.840 mm, serta wheelbase 3.200 mm.

Mengutip laman resmi MG Thailand, MG Maxus 9 mengusung baterai jenis ion litium berkapasitas 90 kWh dengan klaim daya jelajah hingga 520 kilometer.
Bicara soal harga, MG Maxus 9 dijual dengan banderol 2.499.000 baht atau setara Rp 1,1 milliar.
“Itu sesuatu hal yang segera akan kita informasikan lebih lanjut. Tapi itu menjadi opsi terbaik yang bisa diberikan market Tanah Air. Waktunya kapan? Segera akan saya informasikan,” ucap Arief.














",OTOMOTIF
Koalisi Sipil Sarankan Kenaikan Anggaran Belanja Alutsista Ditunda,"JAKARTA, KOMPAS.com - Koalisi Masyarakat Sipil untuk Reformasi Sektor Keamanan menyarankan pemerintah menunda tambahan alokasi anggaran belanja alat utama sistem persenjataan (alutsista) sampai masa kepemimpinan Presiden Joko Widodo (Jokowi) berakhir.
Menurut mereka, tambahan alokasi anggaran yang terjadi di tengah tahun politik riskan disalahgunakan.
""Koalisi menilai sebaiknya pemerintah menunda kenaikan anggaran pertahanan ini karena sarat akan potensi penyimpangan dan kepentingan politik yang dilakukan pada masa akhir pemerintahan Joko Widodo,"" demikian keterangan Koalisi Masyarakat Sipil untuk Reformasi Sektor Keamanan dalam keterangannya seperti dikutip pada Minggu (3/12/2023).
""Kenaikan anggaran secara signifikan di kementerian tertentu (Kementrian Pertahanan) yang dilakukan di tengah rendahnya akuntabilitas dan transparansi tentunya akan sangat potensial disalahgunakan,"" lanjut keterangan itu.
Penambahan alokasi anggaran belanja alutsista itu diungkapkan pada Selasa (28/11/2023) lalu oleh Menteri Keuangan Sri Mulyani Indrawati.
Sri Mulyani mengatakan, tambahan anggaran alokasi belanja alutsista di Kementerian Pertahanan (Kemenan) untuk 2024 bersumber dari pinjaman luar negeri, yaitu sebesar USD 4 miliar atau setara dengan Rp 61,58 triliun.
Kenaikan ini baru disepakati saat Menteri Pertahanan Prabowo Subianto bertemu Presiden Joko Widodo (Jokowi) di Istana Kepresidenan Bogor, Jawa Barat, pada Selasa lalu.
Menurut koalisi sipil, kenaikan anggaran di Kemenhan terjadi secara tiba-tiba dalam jumlah yang fantastis adalah tidak wajar. Mengingat, momentumnya jelang Pemilu 2024.
""Terlebih lagi, kenaikan anggaran ini terjadi pada kementerian yang menterinya adalah calon presiden yang berpasangan dengan anak dari Presiden,"" kata koalisi sipil.
Selain kekhawatiran disalahgunakan, koalisi sipil juga menilai sulit untuk mengukur efektivitas kenaikan anggaran pertahanan yang dilakukan di pengujung masa pemerintahan Presiden Jokowi.
Apalagi saat ini Prabowo yang maju sebagai kandidat calon presiden dinilai tengah sibuk berkampanye ketimbang urusan di Kementerian Pertahanan.
Koalisi sipil juga menyoroti sejumlah program Kemenhan yang menjadi sorotan, seperti program Food Estate.
Selain itu proyek pengadaan alutsista dan komponen pendukungnya oleh Kemenhan juga diduga rawan penyimpangan.
""Selama ini, sektor pertahanan merupakan sektor yang tertutup, jauh dari transparansi dan akuntabilitas khususnya terkait dengan penggunaan anggaran, sehingga seringkali dugaan penyimpangan anggaran khususnya terkait belanja alutsista sering terjadi tapi sulit dibongkar karena alasan dan dalih 'rahasia negara',"" ujar koalisi sipil.














",NEWS
"Datangi Ponpes Cipasung Tasikmalaya, Prabowo Mengaku Diberi Banyak Wejangan","Prabowo mengaku diberi mandat oleh pimpinan Ponpes Cipasung KH Koko Komarudin supaya menjadi Presiden di tahun 2024.
Mulanya, Prabowo berterima kasih karena dirinya diterima dengan luar biasa oleh santri Ponpes Cipasung.
Prabowo didampingi oleh Ketua TKN Prabowo-Gibran Rosan Roeslani, Ketua Umum Demokrat Agus Harimurti Yudhoyono (AHY), hingga Ketua TKD Prabowo-Gbran Jawa Barat Ridwan Kamil.
""Terima kasih atas dukungan selama ini yang tidak pernah putus juga untuk minta doa, saya minta saran petunjuk,"" ujar Prabowo usai berbincang-bincang dengan Koko Komarudin.
Prabowo menjelaskan, Koko Komarudin yang menjadi Ketua Pembina Ponpes Cipasung ini memberinya sejumlah wejangan.
Bahkan, kata dia, Koko Komarudin juga memberi mandat kepadanya untuk menjadi Presiden.
""Telah diberi harapan-harapan yang di antaranya beliau doakan bahwa saya mendapat mandat sebagai Presiden Republik Indonesia,"" ucapnya.
""Dan setelah itu beliau menyampaikan harapan agar menjalankan tugas Presiden dengan tegas, arif, bijaksana, dan senantiasa membela rakyat Indonesia dan umat,"" sambung Prabowo.
Prabowo mengatakan, jika berhasil menjadi Presiden, dirinya diminta oleh Koko Komarudin untuk kembali mengunjungi Ponpes Cipasung.
Dirinya pun percaya diri pasangan Prabowo-Gibran bisa menjadi pemimpin baru di tahun 2024.
""Terima kasih atas penerimaan yang begitu baik, yang sangat singkat tapi sangat berarti bagi saya. Memberi kepada saya suatu dorongan pada saatnya insyaallah menerima mandat kita bertekad untuk bekerja sekeras-kerasnya dengan segala daya, segala upaya, dengan segala kemampuan untuk berbakti sebaik-baiknya, sejujur-jujurnya, sebersih-bersihnya untuk kepentingan negara dan juga rakyat Indonesia yang kita cintai,"" imbuhnya.














",NEWS
Cerita Prabowo soal Tuduhan Kudeta gara-gara Paling Banyak Punya Pasukan Tempur,"Hal itu disampaikan Prabowo di hadapan para kyai yang hadir di acara Musyawarah Kerja Nasional (Mukernas) Majelis Ulama Indonesia (MUI) III 2023 yang disiarkan secara daring pada Sabtu (2/12/2023).
""Bapak-bapak sebagian besar sudah kenal saya lama. Kira-kira kan begitu. Saya dulu pun pernah dituduh mau kudeta. Iya kan. Prabowo mau kudeta, mau ambil alih negara. Karena dia panglima, punya pasukan tempur yang paling banyak,"" ujarnya dilansir siaran langsung MUI TV
""Dulu saya Pangkostrad (Panglima Komando Strategis Angkatan Darat). Batalyon saya 33 batalyon, tempur semua ya kan. Kawan dekat saya panglima Kodam Jaya Sjafrie Sjamsoeddin. Sampai sekarang masih kawan baik. Masih membantu saya,"" paparnya.
Prabowo kemudian menjelaskan alasannya menceritakan kisah tuduhan kudeta yang dialamatkan kepadanya.
""Apakah Prabowo kudeta atau tidak? Kan tidak. Dituduh mau, tapi tidak lakukan. Saudara-saudara saya maju, saya menawarkan diri untuk berbakti kepada negara, saya ingin diberi mandat,"" kata Prabowo.
""Saya ingin untuk diberi kesempatan memimpin bangsa ini karena saya merasa bahwa saya paham, saya mengerti apa yang sedang terjadi kepada bangsa kita ini. Saya paham bahaya-bahaya yang dihadapi bangsa ini. Karena itu, saya terus berjuang. Tapi di atas jalan yang benar. Di atas jalan UUD,"" lanjutnya.


Ketua Umum Partai Gerindra itu pun kemudian menyatakan, dirinya meminta di hadapan masyarakat untuk diberi mandat sebagai Kepala Negara.
""Saya datang di hadapan rakyat dan saya minta, saya minta mandat. Kalau rakyat memberi mandat kepada saya, saya siap bekerja untuk rakyat, untuk bangsa dan negara,"" kata Prabowo.
""Kalau rakyat tidak memberi mandat ya tidak ada masalah. Dan saya sudah buktikan berkali kali (kalah di pemilu),"" tambahnya.














",NEWS
"Duduk Perkara Debat Pilpres 2024: Debat Cawapres Tetap Ada, tapi Didampingi Capres","KPU bukan meniadakan debat calon wakil presiden (cawapres), melainkan tetap menggelarnya dengan cawapres didampingi calon presiden (capres).
Pada agenda debat cawapres, cawapres tetap menjadi aktor utama debat, meski capres menyertainya di panggung. Begitu pun sebaliknya.
Ketua KPU RI Hasyim Asy'ari menegaskan, KPU tak mungkin meniadakan debat cawapres.
Sebab, Undang-Undang Nomor 7 Tahun 2017 tentang Pemilu (UU Pemilu) mengharuskan tiga kali debat capres dan dua kali debat cawapres.
Ia mengungkapkan, format debat ini diubah supaya pemilih dapat melihat sejauh mana kerja sama masing-masing capres-cawapres dalam penampilan debat.
""Sehingga kemudian supaya publik makin yakinlah teamwork (kerja sama) antara capres dan cawapres dalam penampilan di debat,"" kata Hasyim kepada wartawan, Kamis (30/11/2023).
Pada Pilpres 2019, lima kali debat capres-cawapres digelar dengan komposisi satu kali debat khusus cawapres, dua kali khusus capres, dan dua kali dihadiri capres-cawapres.
Pada Pilpres 2024, sesuai UU Pemilu, ada tiga kali debat capres dan dua kali debat cawapres.
Komisioner KPU RI Idham Holik membantah bahwa pihaknya meniadakan debat capres maupun debat cawapres.
""Justru KPU menampilkan yang lebih baik agar masyarakat mendapatkan informasi yang jauh lebih utuh. Jadi di setiap debat itu, tergantung pada, debat kali ini untuk debat siapa? Kalau itu debatnya capres, maka aktor utamanya capres. Kalau debat cawapres, maka aktor utamanya adalah cawapres,"" kata Idham, kemarin.
""Kita mesti ingat, yang namanya calon presiden dan calon wakil presiden itu adalah calon dwitunggal,"" lanjut dia.
Idham menambahkan, konsep debat yang sejauh ini diberitakan masih berupa rencana hasil rapat dengan tim pasangan capres-cawapres pada Rabu (29/11/2023) dan akan dimatangkan dalam rapat lanjutan beberapa waktu ke depan bersama tim pasangan capres-cawapres.
Misinformasi sejumlah pemberitaan menyebabkan beberapa pihak meyakini KPU telah menghilangkan debat cawapres, walaupun yang sesungguhnya terjadi adalah perubahan format debat cawapres.
Namun demikian, kritik kadung menyembur dari kubu Ganjar Pranowo-Mahfud MD dan Anies Baswedan-Muhaimin Iskandar, yang telah menyatakan kesiapannya untuk menghadapi debat capres dan cawapres sekalipun dengan format tahun 2019.














",NEWS
"[POPULER OTOMOTIF] Spesifikasi Motor Listrik Konversi Rp 4 Juta, Termurah di Indonesia | Benarkah Makin Encer Oli Mesin Lebih Bagus?","JAKARTA, KOMPAS.com - PT Nagara Sains Ekosistem menjadi pemain baru yang turut meramaikan program elektrifikasi Nasional, dengan menghadirkan paket konversi motor listrik murah seharga Rp 4 juta.
Biaya tersebut merupakan hasil potongan setelah dipangkas subsidi konversi dari Pemerintah senilai Rp 10 juta, dan layak diterima oleh semua masyarakat. 
Selain itu, kualitas oli mesin dapat bervariasi antara merek dan jenis oli yang berbeda, standarnya bisa dilihat dari API Service, dan bahan dasar oli umumnya ada tiga, sintetis, semi sintetis, atau mineral.
Saat ini oli mesin berkualitas yang ada di pasaran umumnya memiliki viskositas (tingkat kekentalan) rendah alias encer.
Berikut 5 artikel terpopuler di kanal otomotif pada Sabtu, 2 Desember 2023:
1. Spesifikasi Motor Listrik Konversi Rp 4 Juta, Termurah di Indonesia
Kompas.com/Daafa Alhaqqy Paket konversi motor listrik buatan Nagara. Jadi yang termurah setelah disubsidi, harga Rp 4 juta
Pihak Nagara menjelaskan, pemberian subsidi juga merupakan bukti bahwa perusahaan teknologi lokal asal SCBD, Jakarta Selatan, ini telah memenuhi standardisasi Kementerian ESDM.
Muhammad Bagas Kamal, Lead Engineer Nagara menjelaskan, biaya konversi tersebut diklaim sebagai yang paling murah di Indonesia.
2. Benarkah Makin Encer Oli Mesin Lebih Bagus?
IST Festival ganti oli massal dari Pertamina
Pasalnya, oli encer menjadi tren untuk mobil modern karena memang sesuai kebutuhan mesin. Kondisi ini lantas membuat masyarakat beranggapan semakin encer oli maka semakin berkualitas.














",OTOMOTIF
